"","Year","Month","Day","Hour","Temperature","Pressure","Sky_Cover","Wind_Speed","Rainfall"
"433",2022,1,19,1,"12.8",1016.4,4,1.9,0
"434",2022,1,19,2,"12.7",1016.3,3,0.2,0
"435",2022,1,19,3,"11.7",1016.3,3,1.3,0
"436",2022,1,19,4,"12.2",1016.6,8,0,0
"437",2022,1,19,5,"13.3",1016.8,8,1.3,0
"438",2022,1,19,6,"13.4",1016.8,8,0.2,0
"439",2022,1,19,7,"13.9",1017.3,8,1.6,0
"440",2022,1,19,8,"13.9",1017.8,8,2.1,0
"441",2022,1,19,9,"14.5",1018.2,8,1.8,0
"442",2022,1,19,10,"15.6",1018.8,8,0,0
"443",2022,1,19,11,"15.6",1018.6,6,3.1,0
"444",2022,1,19,12,"16.2",1017.8,5,2.6,0
"445",2022,1,19,13,"16.2",1017.2,4,3.3,0
"446",2022,1,19,14,"16.6",1017,3,4.8,0
"447",2022,1,19,15,"16.1",1016.8,3,6.1,0
"448",2022,1,19,16,"16.1",1016.8,3,5.7,0
"449",2022,1,19,17,"14.9",1017.1,2,4.2,0
"450",2022,1,19,18,"14.4",1017.3,0,4.5,0
"451",2022,1,19,19,"14.4",1017.6,0,3.9,0
"452",2022,1,19,20,"14.4",1017.8,0,2.5,0
"453",2022,1,19,21,"14.3",1018.1,0,2.2,0
"454",2022,1,19,22,"13.9",1018.4,0,2.6,0
"455",2022,1,19,23,"13.8",1019,3,3.6,0
"456",2022,1,19,24,"13.1",1018.9,3,0,0
"457",2022,1,20,1,"11.7",1018.8,3,0,0
"458",2022,1,20,2,"11.6",1018.9,3,0,0
"459",2022,1,20,3,"11.0",1018.6,3,0.2,0
"460",2022,1,20,4,"10.6",1018.6,3,1.5,0
"461",2022,1,20,5,"10.0",1018.8,3,0,0
"462",2022,1,20,6,"10.3",1019.4,3,0.2,0
"463",2022,1,20,7,"12.2",1019.7,3,1.3,0
"464",2022,1,20,8,"12.6",1020.4,2,0.2,0
"465",2022,1,20,9,"15.9",1020.9,0,1.6,0
"466",2022,1,20,10,"17.8",1021.1,0,2.1,0
"467",2022,1,20,11,"20.8",1021.1,0,3.5,0
